label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered
unknown,160.217.124.202,2114,16087,454,333,1352,0,0,0,1352,1168265158,2057077
unknown,160.217.124.202,1436,16644,734,333,1364,0,0,0,1401,1170092573,2131935
unknown,160.217.124.202,1552,17429,1324,333,1440,0,0,0,1447,1154079843,2206960
unknown,160.217.124.202,2015,16062,205,333,1440,0,0,0,1469,1271340754,2245684
unknown,160.217.124.202,1708,16176,536,333,1498,0,0,0,1530,1314801186,2356087
unknown,160.217.124.202,1406,18089,811,333,1530,0,0,0,1567,1204187826,2431144
unknown,160.217.124.202,1997,20390,1387,333,1582,0,0,0,1602,1092157018,2504906
unknown,160.217.124.202,2492,19210,901,333,1634,0,0,0,1637,1184571035,2579590
unknown,160.217.124.202,1882,19903,1115,333,1665,0,0,0,1670,1166373712,2653697
unknown,160.217.124.202,2236,19500,1304,333,1691,0,0,0,1702,1213290338,2728026
unknown,160.217.124.202,1936,14431,680,333,1262,0,0,0,1276,1229119312,2800939
unknown,160.217.124.202,1692,16376,923,333,1310,0,0,0,1329,1128124279,2875269
unknown,160.217.124.202,1879,15091,547,333,1350,0,0,0,1380,1271161884,2950682
unknown,160.217.124.202,2036,16512,588,333,1428,0,0,0,1428,1202176744,3025417
unknown,160.217.124.202,2348,16884,945,333,1456,0,0,0,1473,1212738592,3100469
unknown,160.217.124.202,2078,16697,1185,333,1483,0,0,0,1515,1261287177,3175826
unknown,160.217.124.202,2304,17308,797,333,1530,0,0,0,1553,1247281164,3250081
unknown,160.217.124.202,1819,17982,479,333,1556,0,0,0,1591,1229906172,3326419
unknown,160.217.124.202,1724,20399,1564,333,1620,0,0,0,1627,1108711289,3403358
unknown,160.217.124.202,2607,18777,639,333,1662,0,0,0,1662,1230395142,3479403
unknown,160.217.124.202,2235,17320,623,333,1669,0,0,0,1695,1360384295,3555220
unknown,160.217.124.202,2164,19027,937,333,1694,0,0,0,1728,1262447175,3631091
unknown,160.217.124.202,1836,18476,403,333,1729,0,0,0,1758,1322667590,3705640
unknown,160.217.124.202,2474,18702,1567,333,1486,0,0,0,1502,1116404748,3756768
unknown,160.217.124.202,2166,16131,702,333,1440,0,0,0,1466,1263317388,3832544
unknown,160.217.124.202,2415,15514,1393,333,1224,0,0,0,1243,1113748511,3906815
unknown,160.217.124.202,1466,17315,1228,333,1440,0,0,0,1447,1161678174,3981790
unknown,160.217.124.202,2618,19020,680,333,1575,0,0,0,1591,1162785110,4054259
unknown,160.217.124.202,1774,13233,455,333,1345,0,0,0,1371,1440187168,4138512
unknown,160.217.124.202,1497,11524,582,333,1049,0,0,0,1081,1303953904,4215582
unknown,160.217.124.202,1055,10335,364,333,1042,0,0,0,1080,1452623512,4300684
unknown,160.217.124.202,1458,11932,362,333,1170,0,0,0,1212,1411982031,4385521
unknown,160.217.124.202,919,10486,874,333,945,0,0,0,978,1296488880,4467011
unknown,160.217.124.202,840,7745,417,333,765,0,0,0,800,1435847643,4545986
unknown,160.217.124.202,982,10685,179,333,1125,0,0,0,1134,1475293139,4627166
unknown,160.217.124.202,902,9162,666,333,855,0,0,0,866,1313915389,4705219
unknown,160.217.124.202,927,8746,706,333,810,0,0,0,843,1339855293,4780279
unknown,160.217.124.202,1303,9799,599,333,1035,0,0,0,1036,1469663108,4862629
unknown,160.217.124.202,1068,7612,517,333,675,0,0,0,675,1232664214,4942276
unknown,160.217.124.202,922,8356,545,333,900,0,0,0,942,1567083963,5019991
unknown,160.217.124.202,1376,12161,690,333,1260,0,0,0,1286,1469980166,5105266
unknown,160.217.124.202,1370,11967,635,333,1305,0,0,0,1316,1528658210,5188566
unknown,160.217.124.202,1475,13577,185,333,1511,0,0,0,1516,1552155321,5265328
unknown,160.217.124.202,1374,9132,685,333,990,0,0,0,995,1514596583,5350634
unknown,160.217.124.202,1385,10913,74,333,1125,0,0,0,1169,1489052982,5431994
unknown,160.217.124.202,829,7128,403,333,616,0,0,0,616,1201303703,5510718
unknown,160.217.124.202,587,8411,507,333,812,47,47,82,730,1310585471,5584999
unknown,160.217.124.202,895,8284,459,333,666,0,0,0,666,1117567938,5659601
unknown,160.217.124.202,1276,10413,252,333,1125,0,0,0,1132,1511159665,5740727
unknown,160.217.124.202,940,8647,738,333,810,0,0,0,848,1363233306,5821489
unknown,160.217.124.202,760,8402,506,333,720,0,0,0,759,1255737586,5896414
unknown,160.217.124.202,1266,9554,513,333,869,0,0,0,888,1292014904,5976140
unknown,160.217.124.202,1355,10773,289,333,1139,0,0,0,1175,1516145920,6059525
unknown,160.217.124.202,1732,14073,269,333,1395,0,0,0,1407,1389783670,6141169
unknown,160.217.124.202,1348,12545,800,333,1260,0,0,0,1273,1410579386,6224168
unknown,160.217.124.202,886,7945,561,333,746,0,0,0,769,1345464468,6305513
unknown,160.217.124.202,916,8703,685,333,817,0,0,0,825,1317724922,6386082
unknown,160.217.124.202,1265,10533,105,333,1125,0,0,0,1150,1517698661,6469429
unknown,160.217.124.202,1077,7425,486,333,765,0,0,0,769,1439692282,6547234
unknown,160.217.124.202,908,8626,1236,333,753,0,0,0,764,1231186088,6624286
unknown,160.217.124.202,897,9236,714,333,855,0,0,0,859,1292852663,6703249
unknown,160.217.124.202,939,7836,223,333,765,0,0,0,800,1419173047,6781514
unknown,160.217.124.202,883,9197,756,333,926,0,0,0,938,1417739523,6861363
unknown,160.217.124.202,491,7047,574,333,720,0,0,0,753,1485355810,6938417
unknown,160.217.124.202,931,8415,541,333,810,0,0,0,833,1376038787,7016177
unknown,160.217.124.202,1300,11155,464,333,1170,0,0,0,1175,1464225907,7102307
unknown,160.217.124.202,1033,11213,535,333,1170,0,0,0,1194,1480206474,7182760
unknown,160.217.124.202,1195,8868,482,313,1215,0,0,0,1250,1959404600,7290436
unknown,160.217.124.202,1015,11896,940,313,1337,0,0,0,1339,1564657969,7380752
unknown,160.217.124.202,1013,7505,325,313,696,0,0,0,725,1342848767,7460723
unknown,160.217.124.202,917,7635,283,313,765,0,0,0,791,1440148369,7539314
unknown,160.217.124.202,880,7547,414,313,692,0,0,0,692,1274593030,7617029
unknown,160.217.124.202,851,8125,531,313,765,0,0,0,796,1361850683,7694924
