label,srtt,rtt,mdev,inflight,lost,recv_rtt,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,sk_max_pacing_rate,delivered
unknown,38176,736123,213307,79,0,0,0,0,89,1622624,18446744073709551615,26346
unknown,105927,736531,130795,88,0,0,0,0,89,1621725,18446744073709551615,26358
unknown,29662,752021,141128,89,0,0,0,0,89,1588321,18446744073709551615,26468
unknown,62410,1119084,94565,63,0,0,0,0,90,1079339,18446744073709551615,26564
unknown,107338,939750,93441,83,0,0,0,0,90,1285312,18446744073709551615,26586
unknown,152052,1273008,130648,74,0,0,0,0,90,948833,18446744073709551615,26663
unknown,87906,1102003,105694,90,0,0,0,0,91,1108248,18446744073709551615,26755
unknown,31531,849192,145202,85,0,0,0,0,92,1453986,18446744073709551615,26859
unknown,27126,360245,89481,86,0,0,0,0,93,3464682,18446744073709551615,27057
unknown,122858,551309,188369,92,0,0,0,0,93,2263947,18446744073709551615,27075
unknown,32085,284296,11508,85,0,0,0,0,94,4437470,18446744073709551615,27283
unknown,37951,309540,17384,93,0,0,0,0,94,4075580,18446744073709551615,27360
unknown,31534,547098,163418,96,0,0,0,0,96,2354965,18446744073709551615,27490
unknown,31560,510294,159368,96,0,0,0,0,96,2524812,18446744073709551615,27495
unknown,47361,557708,155742,96,0,0,0,0,96,2310163,18446744073709551615,27641
unknown,61163,733921,162651,84,0,0,0,0,97,1773784,18446744073709551615,27773
unknown,31896,593672,156636,97,0,0,0,0,97,2192822,18446744073709551615,27789
unknown,33519,786937,187090,98,0,0,0,0,98,1671338,18446744073709551615,27922
unknown,33535,722138,189343,98,0,0,0,0,98,1821311,18446744073709551615,27928
unknown,38953,891533,140813,99,0,0,0,0,99,1490308,18446744073709551615,28043
unknown,49847,695474,75405,98,0,0,0,0,99,1910436,18446744073709551615,28190
unknown,48323,416625,12991,100,0,0,0,0,100,3221314,18446744073709551615,28365
unknown,127458,729260,167641,88,0,0,0,0,101,1858734,18446744073709551615,28441
unknown,51838,661879,172450,88,0,0,0,0,101,2047958,18446744073709551615,28537
unknown,156494,843675,229155,69,0,0,0,0,102,1622569,18446744073709551615,28614
unknown,57051,609075,149670,102,0,0,0,0,102,2247541,18446744073709551615,28702
unknown,35716,286887,7320,103,0,0,0,0,103,4818421,18446744073709551615,28949
unknown,40361,291388,9991,103,0,0,0,0,103,4743992,18446744073709551615,28951
unknown,73375,1064045,245579,103,0,0,0,0,103,1299139,18446744073709551615,29068
unknown,30598,710638,48924,104,0,0,0,0,104,1964098,18446744073709551615,29201
unknown,110134,789236,73964,105,0,0,0,0,105,1785503,18446744073709551615,29294
