label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered,bytes_acked
wi-fi,37.65.43.81,49069,391866,354,38070,1670,0,0,2,1675,59417862,173132,250666984
wi-fi,37.65.43.81,50393,407181,962,38070,1663,0,0,1,1682,57421995,176333,255303480
wi-fi,37.65.43.81,57337,460516,515,38070,1681,0,0,1,1688,50952736,179195,259447656
wi-fi,37.65.43.81,50781,406399,843,38070,1674,0,0,1,1695,57977150,182667,264475112
wi-fi,37.65.43.81,50396,407611,848,38070,1694,0,0,1,1701,58009378,185784,268988528
wi-fi,37.65.43.81,54622,435198,776,38070,1692,0,0,0,1707,54523838,189020,273675704
wi-fi,37.65.43.81,50074,398940,704,38070,1712,0,0,0,1713,59688350,192393,278559808
wi-fi,37.65.43.81,60871,487136,396,38070,1694,0,0,1,1718,49024449,195427,282951592
wi-fi,37.65.43.81,52642,425869,855,38070,1705,0,0,0,1724,56273124,198655,287627184
wi-fi,37.65.43.81,57984,462157,766,38070,1713,0,0,0,1729,52005018,201553,291823488
wi-fi,37.65.43.81,55440,444610,1023,38070,1722,0,0,1,1735,54245041,204669,296334008
wi-fi,37.65.43.81,57044,455062,638,38070,1712,0,0,0,1740,53151860,207828,300909688
wi-fi,37.65.43.81,50915,406630,351,38070,1723,0,0,1,1745,59653483,211193,305780760
wi-fi,37.65.43.81,53475,427975,526,38070,1744,0,0,1,1750,56840703,214547,310637352
wi-fi,37.65.43.81,52505,419251,353,38070,1739,0,0,0,1755,58189256,217656,315140632
wi-fi,37.65.43.81,53999,431727,397,38070,1759,0,0,0,1759,56636502,220921,319868352
wi-fi,37.65.43.81,42373,341257,751,38070,1765,0,0,2,1763,71814235,223521,323630256
wi-fi,37.65.43.81,52160,415290,866,38070,1766,0,0,1,1768,59179403,226798,328376800
wi-fi,37.65.43.81,52339,421210,1040,38070,1736,0,0,0,1772,58479660,230034,333063976
wi-fi,37.65.43.81,56264,450318,536,38070,1772,0,0,0,1776,54823082,233133,337551328
wi-fi,37.65.43.81,52838,426791,546,38070,1751,0,0,0,1779,57942935,236364,342229816
wi-fi,37.65.43.81,54215,432919,373,38070,1781,0,0,0,1783,57251186,239709,347073376
wi-fi,37.65.43.81,62528,497104,1474,38070,1771,0,0,0,1786,49942927,242599,351258096
wi-fi,37.65.43.81,56610,454459,1071,38070,1771,0,0,1,1790,54751764,245954,356114688
wi-fi,37.65.43.81,64565,514875,829,38070,1769,0,0,1,1793,48408127,248677,360057592
wi-fi,37.65.43.81,58108,463304,745,38070,1779,0,0,0,1796,53886512,251726,364473992
wi-fi,37.65.43.81,65129,520864,358,38070,1783,0,0,0,1800,48038336,254557,368573280
wi-fi,37.65.43.81,58033,464872,840,38070,1799,0,0,0,1803,53914071,257682,373098280
wi-fi,37.65.43.81,54975,441167,792,38070,1788,0,0,1,1806,56905536,260718,377492960
wi-fi,37.65.43.81,58075,465937,673,38070,1793,0,0,1,1809,53969843,263773,381916600
wi-fi,37.65.43.81,57343,458624,378,38070,1786,0,0,0,1811,54891041,266884,386422776
wi-fi,37.65.43.81,58081,462593,892,38070,1808,0,0,0,1813,54480181,269956,390871032
wi-fi,37.65.43.81,59603,477390,934,38070,1802,0,0,1,1816,52878888,272973,395238200
wi-fi,37.65.43.81,64621,517070,464,38070,1817,0,0,0,1818,48874725,275885,399456224
wi-fi,37.65.43.81,58700,475077,607,38070,1795,0,0,1,1820,53253379,278982,403939232
wi-fi,37.65.43.81,60496,484037,916,38070,1818,0,0,1,1822,52325044,282073,408415000
wi-fi,37.65.43.81,55555,444809,570,38070,1798,0,0,3,1824,57002127,285316,413107968
wi-fi,37.65.43.81,57090,460587,598,38070,1825,0,0,0,1826,55109807,288404,417583736
wi-fi,37.65.43.81,58304,464779,746,38070,1815,0,0,0,1828,54672569,291565,422160864
wi-fi,37.65.43.81,60917,489732,1080,38070,1808,0,0,3,1829,51915258,294677,426662696
wi-fi,37.65.43.81,60292,481622,685,38070,1814,0,0,1,1831,52847180,297571,430856104
wi-fi,37.65.43.81,59575,475895,477,38070,1827,0,0,0,1833,53541571,300798,435530248
wi-fi,37.65.43.81,62691,473419,10871,38070,1832,0,0,0,1834,53850959,303730,439775784
wi-fi,37.65.43.81,56068,455537,912,38070,1829,0,0,1,1835,55995381,305738,442681920
wi-fi,37.65.43.81,56457,451806,479,38070,1834,0,0,1,1837,56519323,309013,447423272
wi-fi,37.65.43.81,54849,443728,1052,38070,1823,0,0,0,1838,57579576,312280,452155336
wi-fi,37.65.43.81,56784,452249,1003,38070,1825,0,0,0,1839,56525434,315626,457000344
wi-fi,37.65.43.81,56716,451901,929,38070,1826,0,0,0,1840,56599724,318703,461455840
wi-fi,37.65.43.81,54828,441459,770,38070,1836,0,0,0,1841,57969987,322032,466276232
wi-fi,37.65.43.81,55390,442312,336,38070,1813,0,0,0,1842,57889619,325370,471109656
