label,connection_id,srtt,rtt,mdev,min_rtt,inflight,lost,retrans_out,sack_out,snd_cwnd,sk_pacing_rate,delivered
unknown,160.217.124.202,1737,14982,238,123,1983,0,0,0,4376,4060198958,3046256
unknown,160.217.124.202,2046,15514,630,123,2147,0,0,0,4376,3920968209,3156644
unknown,160.217.124.202,1648,13992,432,123,2168,0,0,0,4376,4347477186,3267461
unknown,160.217.124.202,1683,14652,117,123,1982,0,0,0,4384,4159234725,3375969
unknown,160.217.124.202,1660,14128,519,123,1912,0,0,0,4383,4312514609,3484329
unknown,160.217.124.202,1693,15175,258,123,1963,0,0,0,4383,4014972415,3594193
unknown,160.217.124.202,1784,14910,434,123,2161,0,0,0,4383,4086331750,3704712
unknown,160.217.124.202,1668,14675,374,123,2140,0,0,0,4383,4151768749,3814526
unknown,160.217.124.202,1698,14283,539,123,2072,0,0,0,4378,4260848729,3923912
unknown,160.217.124.202,1585,14210,426,123,2056,0,0,0,4378,4282737677,4030192
unknown,160.217.124.202,1620,14889,443,123,1890,0,0,0,4378,4087427120,4140484
unknown,160.217.124.202,1686,14864,382,123,2054,0,0,0,4378,4094301829,4250140
unknown,160.217.124.202,1586,15075,715,123,1977,0,0,0,4378,4036995184,4358861
unknown,160.217.124.202,1211,12785,860,123,1973,0,0,0,4364,4744864387,4479371
unknown,160.217.124.202,1548,14647,845,123,1738,0,0,0,4394,4170145094,4600907
unknown,160.217.124.202,1319,12235,209,123,1801,0,0,0,4414,5014967813,4723327
unknown,160.217.124.202,1238,13826,633,123,1872,0,0,0,4484,4508258874,4845403
unknown,160.217.124.202,1128,10650,836,123,1681,0,0,0,4529,5911429408,4961564
unknown,160.217.124.202,1134,13335,412,123,1798,177,76,90,1607,1874288593,5077219
unknown,160.217.124.202,1048,12168,360,123,1766,0,0,0,4589,5242502564,5196369
unknown,160.217.124.202,1527,13564,1005,123,1781,69,11,114,1609,1825223002,5311339
unknown,160.217.124.202,664,10966,1118,123,950,0,0,0,4618,5853902462,5427358
unknown,160.217.124.202,1102,11543,463,123,1494,0,0,0,4625,5569713246,5544027
unknown,160.217.124.202,1184,10593,825,123,1981,0,0,0,4627,6071840045,5658878
unknown,160.217.124.202,1117,11867,565,123,1437,0,0,0,4629,5422331103,5775877
unknown,160.217.124.202,1606,13153,682,123,1989,0,0,0,4630,4893233786,5891393
unknown,160.217.124.202,1525,14766,499,123,1908,0,0,0,4638,4366240715,6010485
unknown,160.217.124.202,1740,13985,498,123,1995,0,0,0,4646,4618027658,6126169
unknown,160.217.124.202,1530,13715,885,123,1887,0,0,0,4649,4711980984,6243277
unknown,160.217.124.202,1407,12707,727,123,1834,0,0,0,4648,5084671315,6360183
unknown,160.217.124.202,1604,13944,792,123,1929,0,0,0,4649,4634596901,6475512
unknown,160.217.124.202,1428,13245,376,123,2048,0,0,0,4649,4879186047,6593118
unknown,160.217.124.202,1380,11609,551,123,1801,0,0,0,4650,5567983461,6708234
unknown,160.217.124.202,1253,9158,571,123,992,0,0,0,4650,7058169906,6827877
unknown,160.217.124.202,1639,11796,607,123,1903,0,0,0,4664,5496213224,6952604
unknown,160.217.124.202,1323,11049,609,123,1721,0,0,0,4687,5896737225,7076418
