label,connection_id,srtt,rtt,mdev,mdev_max,rttvar,min_rtt,inflight,lost,recv_rtt,retrans_out,total_lost,sack_out,total_retrans,rcv_buf,snd_buf,snd_cwnd,sk_pacing_rate,sk_max_pacing_rate,delivered
fibre,160.217.166.30;43160;5201,2798,21538,417,200000,200003,576,230,0,0,0,1170,0,1170,131072,2854912,247,154791865,18446744073709551615,855489
fibre,160.217.166.30;43160;5201,1836,14478,233,200000,200003,576,151,0,0,0,1216,0,1216,131072,2854912,183,170607874,18446744073709551615,863848
fibre,160.217.166.30;43160;5201,2181,17238,302,200000,200003,576,196,0,0,0,1216,0,1216,131072,2854912,204,159734911,18446744073709551615,872221
fibre,160.217.166.30;43160;5201,1617,12310,495,200000,200003,576,150,0,0,0,1229,0,1229,131072,2854912,160,175435905,18446744073709551615,880179
fibre,160.217.166.30;43160;5201,1852,16775,1186,200000,200003,576,154,0,0,0,1229,0,1229,131072,2854912,187,150465049,18446744073709551615,888366
fibre,160.217.166.30;43160;5201,1936,16926,445,200000,200003,576,167,0,0,0,1229,0,1229,131072,2854912,204,162679333,18446744073709551615,896814
fibre,160.217.166.30;43160;5201,2459,18968,349,200000,200003,576,184,0,0,0,1229,0,1229,131072,2854912,228,162244453,18446744073709551615,905261
fibre,160.217.166.30;43160;5201,2756,21732,376,200000,200003,576,243,0,0,0,1229,0,1229,131072,2854912,248,154031143,18446744073709551615,913528
fibre,160.217.166.30;43160;5201,1883,14379,283,200000,200003,576,138,0,0,0,1277,0,1277,131072,2854912,183,171782516,18446744073709551615,921867
fibre,160.217.166.30;43160;5201,2289,17290,386,200000,200003,576,184,0,0,0,1277,0,1277,131072,2854912,210,163938461,18446744073709551615,930101
fibre,160.217.166.30;43160;5201,2787,21275,495,200000,200003,576,230,0,0,0,1277,0,1277,131072,2854912,230,145920000,18446744073709551615,938473
fibre,160.217.166.30;43160;5201,2727,20916,498,200000,200003,576,242,0,0,0,1277,0,1277,131072,2854912,250,161331038,18446744073709551615,946833
fibre,160.217.166.30;43160;5201,3033,23365,446,200000,200003,576,243,0,0,0,1277,0,1277,131072,2854912,267,154241780,18446744073709551615,955204
fibre,160.217.166.30;43160;5201,2262,17501,398,200000,200003,576,184,0,0,0,1328,0,1328,131072,2854912,197,151935729,18446744073709551615,963681
fibre,160.217.166.30;43160;5201,2420,18859,356,200000,200003,576,197,0,0,0,1328,0,1328,131072,2854912,222,158887915,18446744073709551615,971902
